视频id,用户昵称,评论ID,视频评论content,视频详情页URL,评论时间
7012067701665320192,～(^з^)-☆,7317718955790451494,我想问一下，这是什么图，怎么看,https://www.douyin.com/video/7012067701665320192,2023-12-28 18:47:20
7093131183818591502,究究,7287468804404757267,请问这上面可以做Pcoa图么,https://www.douyin.com/video/7093131183818591502,2023-01-20 10:19:56
7323913943917874447,爱做实验的小蛋挞,7324195976335262479,老师 要读博后了 老师要求必须学R 求求求[泣不成声],https://www.douyin.com/video/7323913943917874447,2024-01-14 11:44:57
7323913943917874447,22Rv1,7328642870256583462,[流泪]才看到，刚开始学r语言，还有机会吗,https://www.douyin.com/video/7323913943917874447,2024-01-14 11:44:57
7323913943917874447,🚑李云祥,7410745241693963042,博主，可求点子版代码吗，,https://www.douyin.com/video/7323913943917874447,2024-01-14 11:44:57
7304604597375520026,雅雅,7390003175522419507,请问最上面的菜单栏不见了怎么调出来,https://www.douyin.com/video/7304604597375520026,2024-07-10 13:46:38
7293410550472527139,SunDt,7293578637721764619,酸菜总，推荐一些1-2分接收生信的杂志吧[看],https://www.douyin.com/video/7293410550472527139,2023-10-24 17:30:28
7297138251201023232,～(^з^)-☆,7317719406238057225,想知道这是什么图，求回复。,https://www.douyin.com/video/7297138251201023232,2023-12-28 18:49:13
7297138251201023232,～(^з^)-☆,7317851988116439818,可以问一下怎么看吗？,https://www.douyin.com/video/7297138251201023232,2023-12-28 18:49:13
7229192534474444069,☭小哥哥,7232723451855913728,直接让他分析数据绘图并写出综合性结论多好，这东西一出来就显得科研人员之前做的科研论文重复性劳动很突出[猪头][猪头][猪头],https://www.douyin.com/video/7229192534474444069,2023-05-13 17:41:26
7229192534474444069,橘子,7232903164789785381,有没有一种可能，把它训练到可以给出综合性结论也是很大的工作量[泣不成声][泣不成声][泣不成声],https://www.douyin.com/video/7229192534474444069,2023-05-13 17:41:26
7229192534474444069,牛牛牛,7351132562775655168,现在有的杂志需要上传代码，用Rmd，从原始表达矩阵和下机数据，跑通才可以,https://www.douyin.com/video/7229192534474444069,2023-05-13 17:41:26
7229192534474444069,知人智自知明,7328048657122050843,大神 ChatGPT可以做倾向性评分吗？,https://www.douyin.com/video/7229192534474444069,2023-05-13 17:41:26
7120405119807589662,凌晨 两点,7332498889238889268,完整的代码能否展示 谢谢,https://www.douyin.com/video/7120405119807589662,2023-01-08 02:05:07
7018707861026901260,笑的像太阳🌞,7021827864643273510,能讲解一下热图相关性分析图吗,https://www.douyin.com/video/7018707861026901260,2022-10-22 16:23:30
7018707861026901260,Fiee,7031422544079160072,标准差的那个图怎么做,https://www.douyin.com/video/7018707861026901260,2022-10-22 16:23:30
7018707861026901260,拾金,7060761301408531235,总是说我这个R包不符合我当前版本，我下载的是4.1.2，这个怎么破啊[泣不成声],https://www.douyin.com/video/7018707861026901260,2022-10-22 16:23:30
7018707861026901260,黄焖jimmy饭,7083517416516535053,能教教怎么用r做威布尔分布嘛[泣不成声],https://www.douyin.com/video/7018707861026901260,2022-10-22 16:23:30
7018707861026901260,日咖夜酒,7157373137146561315,怎么读表,https://www.douyin.com/video/7018707861026901260,2022-10-22 16:23:30
7018707861026901260,❤是钟卓酱呀❤️,7193258334856758027,"老铁您好，我是一名国外留学生，因为之前没接触过R, 最近有几道统计题目需要用到R studio，能否请您有偿帮个忙，做完作业",https://www.douyin.com/video/7018707861026901260,2022-10-22 16:23:30
7018707861026901260,Memory怎么写,7317585975298081562,王老师可以出一个R做Venn图的教程吗,https://www.douyin.com/video/7018707861026901260,2022-10-22 16:23:30
7018707861026901260,-Me💕,7323110888122499877,球球大佬看看，下载了还是用不了啥情况，肿么解决[比心],https://www.douyin.com/video/7018707861026901260,2022-10-22 16:23:30
7018707861026901260,骑着小猪去旅行🎃,7381266991941747491,环状热图能画吗,https://www.douyin.com/video/7018707861026901260,2022-10-22 16:23:30
7259570722631077135,法2024,7260116308528153385,怎么筛选出来的生信文章？,https://www.douyin.com/video/7259570722631077135,2023-07-26 13:19:27
7300887937242205503,44073895424,7303008753283400474,看看国自然…很少生信,https://www.douyin.com/video/7300887937242205503,2023-11-19 03:23:52
7156863300125412644,笙～忆,7335809112800772904,你好，约登指数两个相同，怎么选截断值呀？,https://www.douyin.com/video/7156863300125412644,2024-02-15 12:46:00
7060475707880738052,夏末～微凉,7314960456341685001,能分享下七元韦恩图的教程吗,https://www.douyin.com/video/7060475707880738052,2023-12-21 08:22:36
7060475707880738052,用户26913207,7350725931935777574,10组数据的花瓣韦恩图怎么做,https://www.douyin.com/video/7060475707880738052,2023-12-21 08:22:36
7369902970512755987,你可能不晓得,7396952616646165267,代作生信分析,https://www.douyin.com/video/7369902970512755987,2024-05-18 05:36:41
7299774493398961471,小东要断糖,7323118761531573028,您好，有生信学习的课程吗？,https://www.douyin.com/video/7299774493398961471,2023-12-23 03:24:16
7299774493398961471,你可能不晓得,7396952731917828876,代作生信分析,https://www.douyin.com/video/7299774493398961471,2023-12-23 03:24:16
7402127514014878976,美肚莎,7402259344248832795,可以有时间，发一个Granphpad绘制热图的学习视频吗？,https://www.douyin.com/video/7402127514014878976,2024-08-12 07:03:29
7402127514014878976,哈哈哈哈哈哈哈,7402448424200094501,能帮我分析一下数据吗,https://www.douyin.com/video/7402127514014878976,2024-08-12 07:03:29
7030270266139757839,🤓冷公子,7293941650220876571,我连细胞都画不出来[快哭了][快哭了][快哭了],https://www.douyin.com/video/7030270266139757839,2022-11-07 01:26:42
7358025707378773248,等风来,7371790118824985363,博主，我的vioplot不能用，说版本不同，需要怎么办[泣不成声],https://www.douyin.com/video/7358025707378773248,2024-04-17 18:00:16
7358025707378773248,扬哥,7373324729199117068,为什么我安装了，调用后没有任何反应，不出现交互界面呢,https://www.douyin.com/video/7358025707378773248,2024-04-17 18:00:16
7148271130669862180,MaiGaiYY,7302082244646552383,求论文指导,https://www.douyin.com/video/7148271130669862180,2023-11-16 15:28:37
7337598234698812710,DF,7337695143338476288,昨天才买了18本形态血书籍，回来做大模型,https://www.douyin.com/video/7337598234698812710,2024-02-20 08:55:00
7320482917115841855,95%,7331210083983082292,你好，请问怎样获得原文章里单细胞转录的rds数据呀[流泪][流泪][流泪],https://www.douyin.com/video/7320482917115841855,2024-02-03 03:19:28
7041130431781162253,过眼云烟,7138780252759212836,外行怎么入门啊[捂脸],https://www.douyin.com/video/7041130431781162253,2023-01-17 11:42:14
7252633029632347444,小兔兔乖乖,7254509296175596303,为啥我一个也发不出来，怎么指导啊,https://www.douyin.com/video/7252633029632347444,2023-07-09 06:36:31
7252633029632347444,🐿️🐟,7367412473832964902,请问一下您是研究生信方向的老师嘛[发呆][发呆],https://www.douyin.com/video/7252633029632347444,2023-07-09 06:36:31
7252633029632347444,快乐的洋洋,7369230416974480154,不是，写过生信的SCI而已,https://www.douyin.com/video/7252633029632347444,2023-07-09 06:36:31
7175077501281127740,随风,7271525835411981093,老师出现错误代码,https://www.douyin.com/video/7175077501281127740,2022-12-14 16:59:37
7321755177764031782,Aspirin,7321891459505832754,临床数据库有哪些，师姐可以推荐一下吗,https://www.douyin.com/video/7321755177764031782,2024-01-08 15:52:36
7321755177764031782,雅沐茶,7322878313277276938,可是搞不到临床数据[流泪]，公共数据库上太卷了，事倍功半,https://www.douyin.com/video/7321755177764031782,2024-01-08 15:52:36
7321755177764031782,角博琳,7330315240146092826,临床数据的挖掘应该是孟德尔随机化吧,https://www.douyin.com/video/7321755177764031782,2024-01-08 15:52:36
7321755177764031782,懿心心,7351393038349009702,你好，我想问一下，科研小白研二想毕业，生信分析可以吗？,https://www.douyin.com/video/7321755177764031782,2024-01-08 15:52:36
7321755177764031782,健康成长,7360689774233781027,基因数据vcf怎么转换成能打开的文件,https://www.douyin.com/video/7321755177764031782,2024-01-08 15:52:36
7112700225776635143,鸟类的好盆友,7298578543713452827,老师我用GSEA软件上传数据时老是报错 您能给看一下是什么原因吗,https://www.douyin.com/video/7112700225776635143,2022-11-28 08:11:26
7311124428635589926,辰陌,7360724757521679145,第二个图是富集通路，例如为a组vs b组，哪个组富集呢？,https://www.douyin.com/video/7311124428635589926,2023-12-11 01:14:08
7174234205755313445,嘻嘻,7174241933714260766,详细讲讲用这个软件构建载体吧[不失礼貌的微笑],https://www.douyin.com/video/7174234205755313445,2022-12-07 02:55:47
7174234205755313445,锐小仙女,7208368451759457024,怎么翻译序列啊,https://www.douyin.com/video/7174234205755313445,2022-12-07 02:55:47
7174234205755313445,范文,7278212259888136971,如何安装SnapGene软件啊[舔屏],https://www.douyin.com/video/7174234205755313445,2022-12-07 02:55:47
7288545916619984164,逍遥如水舞清风,7292238508168233769,想问一下gsva之后5000多个生物功能上调只有3个，下调4000左右，这种情况正常吗？该怎么处理呀[泪奔][泪奔][泪奔],https://www.douyin.com/video/7288545916619984164,2023-10-21 02:49:51
7119791769213996295,dwh,7291572502290498316,这个图怎么做出来的,https://www.douyin.com/video/7119791769213996295,2023-10-19 07:45:24
7293765463740370228,🐖,7312696548839719699,教教我,https://www.douyin.com/video/7293765463740370228,2023-10-25 13:09:53
7293765463740370228,～(^з^)-☆,7317717276122465075,老师，我想问一下这是什么图?,https://www.douyin.com/video/7293765463740370228,2023-10-25 13:09:53
7293765463740370228,chencheni23,7353419138943304482,这是ppi互作图吗,https://www.douyin.com/video/7293765463740370228,2023-10-25 13:09:53
7363093715574902026,Sunflowers,7370305248836256524,作者大大你做过proseq分析嘛 和rnaseq有什么区别[宕机],https://www.douyin.com/video/7363093715574902026,2024-04-29 02:30:41
7184332110126238991,好运来来来,7212178009385239351,第一张图里面的基因组间共线性的图怎么做的呢？,https://www.douyin.com/video/7184332110126238991,2023-03-19 08:54:17
7358350941935996172,犯大吴疆土者盛必击而破之,7360317189020910346,求分享,https://www.douyin.com/video/7358350941935996172,2024-04-21 13:49:51
7358350941935996172,喜欢hh,7360641787248231222,求分享,https://www.douyin.com/video/7358350941935996172,2024-04-21 13:49:51
7358350941935996172,桶桶,7384780478299439924,求分享,https://www.douyin.com/video/7358350941935996172,2024-04-21 13:49:51
7358350941935996172,小王，,7407373221181391625,求分享,https://www.douyin.com/video/7358350941935996172,2024-04-21 13:49:51
7351301731193589055,🐿️🐟,7368514841387451186,请问这个代码怎么获取呐[比心][比心][比心],https://www.douyin.com/video/7351301731193589055,2024-05-13 16:01:02
7395022135921577228,´,7395025931867308819,已关 求带,https://www.douyin.com/video/7395022135921577228,2024-07-24 02:37:31
7395022135921577228,sinemet,7395124638584816419,求带[泣不成声],https://www.douyin.com/video/7395022135921577228,2024-07-24 02:37:31
7395022135921577228,花开花落,7395144052398605110,求带,https://www.douyin.com/video/7395022135921577228,2024-07-24 02:37:31
7395022135921577228,Gallagher～,7395392948814660402,求带[流泪],https://www.douyin.com/video/7395022135921577228,2024-07-24 02:37:31
7395022135921577228,🍑果粒陈☁️,7396107950362149644,纯小白求带[泣不成声][泣不成声][泣不成声][泣不成声],https://www.douyin.com/video/7395022135921577228,2024-07-24 02:37:31
7395022135921577228,Power1,7397693990684721970,求带,https://www.douyin.com/video/7395022135921577228,2024-07-24 02:37:31
7057096676741369103,brave,7395984440906318619,想知道和别人的图画的一样，这可以在自己的文章中使用吗？,https://www.douyin.com/video/7057096676741369103,2024-07-26 16:37:04
7290777073893805364,MaiGaiYY,7302082403878929215,求论文指导,https://www.douyin.com/video/7290777073893805364,2023-11-01 15:40:33
7290777073893805364,猪猪🌷,7342149730476950311,怎么学啊,https://www.douyin.com/video/7290777073893805364,2023-11-01 15:40:33
7290777073893805364,YYQQ,7354773493156037439,求指导,https://www.douyin.com/video/7290777073893805364,2023-11-01 15:40:33
7309643415573122314,🌈🥚🥚,7328820872960934690,这种云图，子图是指哪个？,https://www.douyin.com/video/7309643415573122314,2024-01-27 16:48:15
7158337305491655969,zzzzzzzZZZZ,7237219444261896972,你好，我导入数据时显示header等于T，row等于1显示错误，请问这是什么情况呀，请教一下[捂脸][捂脸][捂脸],https://www.douyin.com/video/7158337305491655969,2023-05-25 20:28:32
7333039522831240460,薛之谦之弟薛之帅,7406714774652257064,求进一步了解,https://www.douyin.com/video/7333039522831240460,2024-02-08 12:09:13
7117539677967535396,山山而川...,7287981212571812642,想知道95%置信区间是怎么来的[泣不成声][泣不成声][泣不成声],https://www.douyin.com/video/7117539677967535396,2023-10-09 15:29:23
7299306949273865483,行行行行,7305000565405385484,转录组代分析能做吗，怎么收费呢,https://www.douyin.com/video/7299306949273865483,2023-11-24 12:13:06
7299306949273865483,Diu,7368909020894495528,孟德尔随机化要做多久！多少💰呢,https://www.douyin.com/video/7299306949273865483,2023-11-24 12:13:06
7101693645639699719,1001,7103917257658696448,哪里有生存分析的课程？,https://www.douyin.com/video/7101693645639699719,2022-10-10 14:23:48
7359479745685228838,杀我别用711🪬,7361100458897654537,怎么使用TLDA处理GSM呀 ncbi上可以进行这步操作吗,https://www.douyin.com/video/7359479745685228838,2024-04-21 23:25:07
7359479745685228838,石头记美学,7365077477854921523,你好 非常想咨询一下您,https://www.douyin.com/video/7359479745685228838,2024-04-21 23:25:07
7277508409912593703,毅不意外🇨🇳,7363092622312850212,在论文里怎么展示结果呢,https://www.douyin.com/video/7277508409912593703,2024-01-13 09:42:47
7226252577418054973,小李是个小哭包,7365780682889904934,怎么下载安装哇[快哭了],https://www.douyin.com/video/7226252577418054973,2023-04-27 08:06:19
7205469620977945893,妖精来了,7230640475387872000,小姐姐请问列线图可以通过特征重要性评分计算，用matplotlib画出来吗,https://www.douyin.com/video/7205469620977945893,2023-05-08 02:58:10
7209959742209281336,Buger,7211463954627199799,大佬求讲一下单细胞和空间转录组[感谢][感谢][感谢],https://www.douyin.com/video/7209959742209281336,2023-03-13 09:32:02
7209959742209281336,koizora236,7271673246353228544,不管正负离子模式，气泡图P>0.05表示不显著，是不是该模式的富集图结果不可靠，不用看该模式结果对吗,https://www.douyin.com/video/7209959742209281336,2023-03-13 09:32:02
7209959742209281336,窗外风大               ╲,7354955011509453608,怎么看哪些上调哪些下调啊[苦涩],https://www.douyin.com/video/7209959742209281336,2023-03-13 09:32:02
7209959742209281336,酥酥泡芙,7359274622610735924,如何在KEGG里面筛选出关于多糖合成通路的相关基因啊,https://www.douyin.com/video/7209959742209281336,2023-03-13 09:32:02
7209959742209281336,🌈龙行龘龘前程朤朤,7366557461946139411,横轴是富集因子吗,https://www.douyin.com/video/7209959742209281336,2023-03-13 09:32:02
7209959742209281336,邙2022,7378138814310990607,要找某一个基因的在某种疾病的作用通路，kegg要怎么用,https://www.douyin.com/video/7209959742209281336,2023-03-13 09:32:02
7296798680152083738,柠檬薄荷茶,7296898611660833586,求代码[色],https://www.douyin.com/video/7296798680152083738,2023-11-02 16:13:30
7296798680152083738,只见糖门不见人,7297266630316032783,求代码[猪头],https://www.douyin.com/video/7296798680152083738,2023-11-02 16:13:30
7266430443157818643,蛋白质折起来,7266438398042653495,有微生物方向的生信期刊推荐吗？,https://www.douyin.com/video/7266430443157818643,2023-08-12 14:12:21
7306789516990319883,5223847,7399951715094545192,博主您好，请问如何根据基因找到对应的菌的种类啊？,https://www.douyin.com/video/7306789516990319883,2023-11-29 17:50:33
7340833084134165796,辉,7386805077145125647,代做生信多少钱,https://www.douyin.com/video/7340833084134165796,2024-07-01 22:56:28
7075088832890195204,早 睡,7338847994430063371,为什么我运行第一个命令之后效果不一样[流泪][流泪],https://www.douyin.com/video/7075088832890195204,2024-02-23 17:18:39
7232163682170490173,江禾与海,7343278116946723623,那怎么让它的名称显示完全呢？对比完成的时候发现名称不全，只有类似id的一串。用MEGA11构建进化树，名称没有显示出来[流泪],https://www.douyin.com/video/7232163682170490173,2023-05-12 20:02:10
7232163682170490173,小虾米虾米,7366620964803298060,我的pdb文件有问题,https://www.douyin.com/video/7232163682170490173,2023-05-12 20:02:10
7313781628801699135,🌈顾棉球_🐮,7313797479874675456,请问是什么软件？,https://www.douyin.com/video/7313781628801699135,2023-12-18 05:09:40
7313781628801699135,你好厉害啊。,7410304550311396135,你好那个点的图怎么做呀,https://www.douyin.com/video/7313781628801699135,2023-12-18 05:09:40
7379432492757044492,小小怪下士,7394444753125638946,请问大家做pca都用哪个软件啊[流泪][流泪],https://www.douyin.com/video/7379432492757044492,2024-06-12 06:38:29
7379432492757044492,clutch,7401922317071057698,请问您知道这样的图是用啥画出来的吗？,https://www.douyin.com/video/7379432492757044492,2024-06-12 06:38:29
7379432492757044492,图灵,7408198994168775461,科研人福音啊，在arxiv论文界面右侧会自动出现一个沉浸式翻译的快捷入口，点击进入即可获得论文翻译后的双语界面，此为，富文本功能，论文排版功能也进行了优化，快去get读文献新体验吧,https://www.douyin.com/video/7379432492757044492,2024-06-12 06:38:29
7094188405700955432,乾,7211562233208439586,roc曲线连川云说我行名称空白，搞不懂。最后用仙桃马上解决[舔屏]跪谢仙桃[流泪],https://www.douyin.com/video/7094188405700955432,2023-03-17 17:05:00
7244374584458366208,鱼与渔的愚,7309315901274522405,求教程 教授哥,https://www.douyin.com/video/7244374584458366208,2023-06-14 04:33:37
7244374584458366208,阿拉神灯阿拉维,7342432725629371171,能咨询一个问题吗,https://www.douyin.com/video/7244374584458366208,2023-06-14 04:33:37
7244374584458366208,悄悄,7387988245940552448,我想请教一下 第四张上图的 Distance怎么改单位  [流泪],https://www.douyin.com/video/7244374584458366208,2023-06-14 04:33:37
7008765598603726118,吃瓜群众甲,7304973104488432424,想知道学化工的用哪个啊，看好几个推荐的好像都是生物医学类的[泪奔],https://www.douyin.com/video/7008765598603726118,2023-03-14 03:59:20
7071684533355154695,natcellsci,7098554942727127846,事件数怎么展示在图下面,https://www.douyin.com/video/7071684533355154695,2024-01-29 05:35:01
7071684533355154695,苦行僧,7329389588753122048,结局怎么设置,https://www.douyin.com/video/7071684533355154695,2024-01-29 05:35:01
7328210311045991717,随遇而安。,7330492059256488741,蛋白表达？？？,https://www.douyin.com/video/7328210311045991717,2024-02-01 04:53:08
7363197077800684863,嘎嘣脆曲奇饼干,7363323716212605696,求！,https://www.douyin.com/video/7363197077800684863,2024-04-29 16:16:50
7363197077800684863,中国的马斯克,7363497356341871371,求[泣不成声][泣不成声][泣不成声],https://www.douyin.com/video/7363197077800684863,2024-04-29 16:16:50
7119043715859041573,沉醉寒风,7389914102119973682,能不能直观的显示出最大值，最小值，均值等,https://www.douyin.com/video/7119043715859041573,2024-07-10 08:01:00
7116353567287479566,小毅森,7315258113253638949,你们这个两组基因表达，是依据什么标准来定义为高表达组和低表达组的？,https://www.douyin.com/video/7116353567287479566,2023-12-22 03:37:39
7116353567287479566,Su-Oct-1,7327332463436120859,请问怎么可以画出你这么好看的图？我用spss画的，真的好丑，就是好细一条线[流泪],https://www.douyin.com/video/7116353567287479566,2023-12-22 03:37:39
7292817554932813075,MaiGaiYY,7302082627207594763,求论文指导,https://www.douyin.com/video/7292817554932813075,2023-11-16 15:30:03
7292817554932813075,～(^з^)-☆,7317719280043361050,想知道这是什么图，怎么看?,https://www.douyin.com/video/7292817554932813075,2023-11-16 15:30:03
7292817554932813075,～(^з^)-☆,7317852156432876338,想问一下这个图怎么看?,https://www.douyin.com/video/7292817554932813075,2023-11-16 15:30:03
7292817554932813075,你可能不晓得,7396952524839961363,代作生信分析,https://www.douyin.com/video/7292817554932813075,2023-11-16 15:30:03
7060836179662359822,橘子.🍊,7154369140944552744,您好，想问一下热图的标签可以改吗？,https://www.douyin.com/video/7060836179662359822,2022-10-10 04:43:34
7060836179662359822,日常嘻嘻哈哈,7298718327601267507,您好，可以跟您学习r语言绘图吗？,https://www.douyin.com/video/7060836179662359822,2022-10-10 04:43:34
7328749367798549798,lA,7338374382303314714,学姐，可以分享一下作图的软件吗？,https://www.douyin.com/video/7328749367798549798,2024-01-27 12:16:40
7328749367798549798,Sunflowers,7370305326345782055,作者大大你做过proseq分析嘛 和rnaseq有什么区别[宕机],https://www.douyin.com/video/7328749367798549798,2024-01-27 12:16:40
7091472547526511885,5223847,7161345972525613839,亲，能否出一期代谢组与基因之间关键的网络图？,https://www.douyin.com/video/7091472547526511885,2022-11-02 09:18:20
7091472547526511885,小樊早睡不熬夜（晚上12点一定睡版）,7394365919340872500,请问这个节点线条如何改颜色呢？,https://www.douyin.com/video/7091472547526511885,2022-11-02 09:18:20
7363183148227628300,Pan.先生,7363838522547979071,可以帮忙发嘛？,https://www.douyin.com/video/7363183148227628300,2024-04-29 07:11:51
7195190580425526539,☁️……,7205412008903361295,怎么知道哪些期刊接受生信分析？,https://www.douyin.com/video/7195190580425526539,2023-02-02 07:48:26
7195190580425526539,老表说论文,7234073182150738749,生信现在都不好操作了,https://www.douyin.com/video/7195190580425526539,2023-02-02 07:48:26
7195190580425526539,～(^з^)-☆,7317719101017834290,我想问一下这是什么图，怎么看。,https://www.douyin.com/video/7195190580425526539,2023-02-02 07:48:26
